"","StudentId","FName","LName","DOB","DepartmentId","Gender","Department","Grade","Tution"
"25",25,"Asnakech","Peter","1994-01-01T00:00:00.0000000",5,"F","[Value]","[Table]","[Table]"
"26",26,"Shana","Kalia","1995-01-01T00:00:00.0000000",6,"M","[Value]","[Table]","[Table]"
"27",27,"Hedy","Cruz","1996-01-01T00:00:00.0000000",35,"F","[Value]","[Table]","[Table]"
"28",28,"Wallace","Tad","1997-01-01T00:00:00.0000000",35,"M","[Value]","[Table]","[Table]"
"29",29,"Wallace","Brittany","1998-01-01T00:00:00.0000000",12,"M","[Value]","[Table]","[Table]"
"30",30,"Constance","Igor","1999-01-01T00:00:00.0000000",12,"F","[Value]","[Table]","[Table]"
"31",31,"Solomon","Athena","2000-01-01T00:00:00.0000000",1,"M","[Value]","[Table]","[Table]"
"32",32,"Clark","Kennan","2001-01-01T00:00:00.0000000",1,"F","[Value]","[Table]","[Table]"
"33",33,"Donna","Josephine","2002-01-01T00:00:00.0000000",1,"M","[Value]","[Table]","[Table]"
"34",34,"Wylie","Hedwig","2003-01-01T00:00:00.0000000",2,"F","[Value]","[Table]","[Table]"
"35",35,"Desirae","Astra","2004-01-01T00:00:00.0000000",2,"M","[Value]","[Table]","[Table]"
"36",36,"Yoshi","Lani","2005-01-01T00:00:00.0000000",2,"M","[Value]","[Table]","[Table]"
"37",37,"Sigourney","Jessamine","2006-01-01T00:00:00.0000000",3,"F","[Value]","[Table]","[Table]"
"38",38,"Sara","Carson","2007-01-01T00:00:00.0000000",3,"M","[Value]","[Table]","[Table]"
"39",39,"Nyssa","Oliver","2008-01-01T00:00:00.0000000",3,"F","[Value]","[Table]","[Table]"
"40",40,"Francesca","Sopoline","2009-01-01T00:00:00.0000000",4,"M","[Value]","[Table]","[Table]"
"41",41,"Autumn","Remedios","2010-01-01T00:00:00.0000000",4,"F","[Value]","[Table]","[Table]"
"42",42,"Amity","Destiny","2011-01-01T00:00:00.0000000",4,"M","[Value]","[Table]","[Table]"
"43",43,"Tanner","Rahim","1970-01-01T00:00:00.0000000",5,"M","[Value]","[Table]","[Table]"
"44",44,"Cyrus","Berk","1971-01-01T00:00:00.0000000",5,"F","[Value]","[Table]","[Table]"
"45",45,"Cooper","Christopher","1972-01-01T00:00:00.0000000",6,"M","[Value]","[Table]","[Table]"
"46",46,"Marah","Raya","1973-01-01T00:00:00.0000000",7,"F","[Value]","[Table]","[Table]"
"47",47,"Kelly","Sebastian","1974-01-01T00:00:00.0000000",8,"M","[Value]","[Table]","[Table]"
"48",48,"Mechelle","Valentine","1975-01-01T00:00:00.0000000",9,"F","[Value]","[Table]","[Table]"
"49",49,"Denise","Ray","1976-01-01T00:00:00.0000000",10,"M","[Value]","[Table]","[Table]"
"50",50,"Ivan","Marcia","1977-01-01T00:00:00.0000000",11,"M","[Value]","[Table]","[Table]"
"51",51,"Olga","Selma","1978-01-01T00:00:00.0000000",12,"F","[Value]","[Table]","[Table]"
"52",52,"Imani","Tarik","1979-01-01T00:00:00.0000000",13,"M","[Value]","[Table]","[Table]"
"53",53,"Quon","Rana","1980-01-01T00:00:00.0000000",3,"F","[Value]","[Table]","[Table]"
"54",54,"Berk","Rana","1981-01-01T00:00:00.0000000",4,"M","[Value]","[Table]","[Table]"
"55",55,"Ferdinand","Kyra","1982-01-01T00:00:00.0000000",5,"F","[Value]","[Table]","[Table]"
"56",56,"Tatiana","Iliana","1983-01-01T00:00:00.0000000",6,"M","[Value]","[Table]","[Table]"
"57",57,"Amanda","Phyllis","1984-01-01T00:00:00.0000000",35,"M","[Value]","[Table]","[Table]"
"58",58,"Mohammad","Hamish","1985-01-01T00:00:00.0000000",35,"F","[Value]","[Table]","[Table]"
"59",59,"Dorian","Alexis","1986-01-01T00:00:00.0000000",12,"M","[Value]","[Table]","[Table]"
"60",60,"Rama","Chaim","1987-01-01T00:00:00.0000000",12,"F","[Value]","[Table]","[Table]"
"61",61,"Velma","Otto","1988-01-01T00:00:00.0000000",1,"M","[Value]","[Table]","[Table]"
"62",62,"Deacon","Buckminster","1989-01-01T00:00:00.0000000",1,"F","[Value]","[Table]","[Table]"
"63",63,"Jacqueline","Myles","1990-01-01T00:00:00.0000000",1,"M","[Value]","[Table]","[Table]"
"64",64,"Stuart","Olympia","1991-01-01T00:00:00.0000000",2,"M","[Value]","[Table]","[Table]"
"65",65,"Sheila","Astra","1992-01-01T00:00:00.0000000",2,"F","[Value]","[Table]","[Table]"
"66",66,"Phelan","Charity","1993-01-01T00:00:00.0000000",2,"M","[Value]","[Table]","[Table]"
"67",67,"Dale","Fiona","1994-01-01T00:00:00.0000000",3,"F","[Value]","[Table]","[Table]"
"68",68,"Kessie","Connor","1995-01-01T00:00:00.0000000",3,"M","[Value]","[Table]","[Table]"
"69",69,"Talon","Odysseus","1996-01-01T00:00:00.0000000",3,"F","[Value]","[Table]","[Table]"
"70",70,"Sade","Jason","1997-01-01T00:00:00.0000000",4,"M","[Value]","[Table]","[Table]"
"71",71,"Yoseph","Burke","1998-01-01T00:00:00.0000000",4,"M","[Value]","[Table]","[Table]"
"72",72,"Isaiah","Yetta","1999-01-01T00:00:00.0000000",4,"F","[Value]","[Table]","[Table]"
"73",73,"Darryl","Tiger","2000-01-01T00:00:00.0000000",5,"M","[Value]","[Table]","[Table]"
"74",74,"Astra","Grant","2001-01-01T00:00:00.0000000",5,"F","[Value]","[Table]","[Table]"
"75",75,"Quin","Aaron","2002-01-01T00:00:00.0000000",6,"M","[Value]","[Table]","[Table]"
"76",76,"Taylor","Zeus","2003-01-01T00:00:00.0000000",7,"F","[Value]","[Table]","[Table]"
"77",77,"Merritt","Aiko","2004-01-01T00:00:00.0000000",8,"M","[Value]","[Table]","[Table]"
"78",78,"Denise","Kirk","2005-01-01T00:00:00.0000000",9,"M","[Value]","[Table]","[Table]"
"79",79,"Eden","Amal","2006-01-01T00:00:00.0000000",10,"F","[Value]","[Table]","[Table]"
"80",80,"Grant","Graiden","2007-01-01T00:00:00.0000000",11,"M","[Value]","[Table]","[Table]"
"81",81,"Stephanie","Gloria","2008-01-01T00:00:00.0000000",12,"F","[Value]","[Table]","[Table]"
"82",82,"Nell","Kimberly","2009-01-01T00:00:00.0000000",13,"M","[Value]","[Table]","[Table]"
"83",83,"Colby","Norman","2010-01-01T00:00:00.0000000",3,"F","[Value]","[Table]","[Table]"
"84",84,"Ivor","Iliana","2011-01-01T00:00:00.0000000",4,"M","[Value]","[Table]","[Table]"
"85",85,"Evan","Stewart","1970-01-01T00:00:00.0000000",5,"M","[Value]","[Table]","[Table]"
"86",86,"Lewis","Daphne","1971-01-01T00:00:00.0000000",6,"F","[Value]","[Table]","[Table]"
"87",87,"Rooney","Conan","1972-01-01T00:00:00.0000000",35,"M","[Value]","[Table]","[Table]"
"88",88,"Martena","Aristotle","1973-01-01T00:00:00.0000000",35,"F","[Value]","[Table]","[Table]"
"89",89,"Xena","Alvin","1974-01-01T00:00:00.0000000",12,"M","[Value]","[Table]","[Table]"
"90",90,"Melodie","Scarlett","1975-01-01T00:00:00.0000000",12,"F","[Value]","[Table]","[Table]"
"91",91,"Ginger","Shaine","1976-01-01T00:00:00.0000000",17,"M","[Value]","[Table]","[Table]"
"92",92,"Stacey","Chaney","1977-01-01T00:00:00.0000000",18,"M","[Value]","[Table]","[Table]"
"93",93,"Dante","Phoebe","1978-01-01T00:00:00.0000000",18,"F","[Value]","[Table]","[Table]"
"94",94,"Lamar","Chastity","1979-01-01T00:00:00.0000000",19,"M","[Value]","[Table]","[Table]"
"95",95,"Alexis","Michael","1980-01-01T00:00:00.0000000",19,"F","[Value]","[Table]","[Table]"
"96",96,"Ivana","Damon","1981-01-01T00:00:00.0000000",20,"M","[Value]","[Table]","[Table]"
"97",97,"Callie","Macon","1982-01-01T00:00:00.0000000",21,"F","[Value]","[Table]","[Table]"
"98",98,"Amanda","Jorden","1983-01-01T00:00:00.0000000",21,"M","[Value]","[Table]","[Table]"
"99",99,"Kamal","Fiona","1984-01-01T00:00:00.0000000",22,"M","[Value]","[Table]","[Table]"
"100",100,"Ciara","Axel","1985-01-01T00:00:00.0000000",23,"F","[Value]","[Table]","[Table]"
"101",101,"Yoseph","Adugna","1978-02-02T00:00:00.0000000",1,"M","[Value]","[Table]","[Table]"
"102",102,"Yoseph","Adugna","1978-02-02T00:00:00.0000000",1,"M","[Value]","[Table]","[Table]"
